"['Florida', 'edit]\n']","['Ave Maria ', 'Ave Maria University)\n']"
"['Florida', 'edit]\n']","['Boca Raton ', 'Florida Atlantic University)\n']"
"['Florida', 'edit]\n']","['Coral Gables ', 'University of Miami)\n']"
"['Florida', 'edit]\n']","['DeLand ', 'Stetson University)[5]\n']"
"['Florida', 'edit]\n']","['Estero ', 'Florida Gulf Coast University)\n']"
"['Florida', 'edit]\n']","['Gainesville ', 'University of Florida, Santa Fe College)\n']"
"['Florida', 'edit]\n']","['Orlando ', 'University of Central Florida)\n']"
"['Florida', 'edit]\n']","['Sarasota ', 'New College of Florida, Ringling College of Art and Design, State College of Florida, Manatee-Sarasota, University of South Florida Sarasota-Manatee)\n']"
"['Florida', 'edit]\n']","['St. Augustine ', 'Flagler College)\n']"
"['Florida', 'edit]\n']","['St. Leo ', 'St. Leo University)\n']"
"['Florida', 'edit]\n']","['Tallahassee ', 'Florida State University, Florida A&M University)\n']"
"['Florida', 'edit]\n']","['Tampa ', 'University of South Florida)\n']"
"['Georgia', 'edit]\n']","['Albany ', 'Albany State University)\n']"
"['Georgia', 'edit]\n']","['Athens ', 'University of Georgia)[15]\n']"
"['Georgia', 'edit]\n']","['Atlanta ', 'Georgia State University, Georgia Tech, Emory)[2]\n']"
"['Georgia', 'edit]\n']","['Carrollton ', 'University of West Georgia)[2]*Dahlonega ', 'North Georgia College & State University)[2]\n']"
"['Georgia', 'edit]\n']","['Demorest ', 'Piedmont College)[2]\n']"
"['Georgia', 'edit]\n']","['Fort Valley ', 'Fort Valley State University)[2]\n']"
"['Georgia', 'edit]\n']","['Kennesaw ', 'Kennesaw State University)\n']"
"['Georgia', 'edit]\n']","['Milledgeville ', 'Georgia College & State University)[2]\n']"
"['Georgia', 'edit]\n']","['Mount Vernon ', 'Brewton-Parker College)[2]\n']"
"['Georgia', 'edit]\n']","['Oxford ', 'Oxford College)\n']"
"['Georgia', 'edit]\n']","['Rome ', 'Berry College, Shorter University)\n']"
"['Georgia', 'edit]\n']","['Savannah ', 'Armstrong Atlantic State University, Savannah State University, Savannah College of Art and Design)\n']"
"['Georgia', 'edit]\n']","['Statesboro ', 'Georgia Southern University)[5]\n']"
"['Georgia', 'edit]\n']","['Valdosta ', 'Valdosta State University)[2]\n']"
"['Georgia', 'edit]\n']","['Waleska ', 'Reinhardt College)[2]\n']"
"['Georgia', 'edit]\n']","['Young Harris ', 'Young Harris College)[2]\n']"
"['Hawaii', 'edit]\n']","['Manoa ', 'University of Hawaii at Manoa)[2]\n']"
"['Idaho', 'edit]\n']","['Moscow ', 'University of Idaho)[2]\n']"
"['Idaho', 'edit]\n']","['Pocatello ', 'Idaho State University)[2]\n']"
"['Idaho', 'edit]\n']","['Rexburg ', 'BYU-Idaho)[2]\n']"
"['Illinois', 'edit]\n']","['Carbondale ', 'Southern Illinois University Carbondale)[5]\n']"
"['Illinois', 'edit]\n']","['Champaign–Urbana ', 'University of Illinois at Urbana–Champaign)[5]\n']"
"['Illinois', 'edit]\n']","['Charleston ', 'Eastern Illinois University)[2]\n']"
"['Illinois', 'edit]\n']","['DeKalb ', 'Northern Illinois University)[2]\n']"
"['Illinois', 'edit]\n']","['Edwardsville ', 'Southern Illinois University Edwardsville)[2]\n']"
"['Illinois', 'edit]\n']","['Evanston ', 'Northwestern University)[2]\n']"
"['Illinois', 'edit]\n']","['Lebanon ', 'McKendree University)[2]\n']"
"['Illinois', 'edit]\n']","['Macomb ', 'Western Illinois University)[2]\n']"
"['Illinois', 'edit]\n']","['Normal ', 'Illinois State University)[2]\n']"
"['Illinois', 'edit]\n']","['Peoria ', 'Bradley University)\n']"
"['Indiana', 'edit]\n']","['Bloomington ', 'Indiana University Bloomington)[5]\n']"
"['Indiana', 'edit]\n']","['Crawfordsville ', 'Wabash College)\n']"
"['Indiana', 'edit]\n']","['Greencastle ', 'DePauw University)[5]\n']"
"['Indiana', 'edit]\n']","['Hanover ', 'Hanover College)[2]\n']"
"['Indiana', 'edit]\n']","['Marion ', 'Indiana Wesleyan University)[2]\n']"
"['Indiana', 'edit]\n']","['Muncie ', 'Ball State University)[2]\n']"
"['Indiana', 'edit]\n']","['Oakland City ', 'Oakland City University)[2]\n']"
